date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:12	31512/31512	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2014:31:38%20GMT	http://candidate.coralixthemes.com/landing/index-blue.html	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/index-blue.html	(from )
15:29:18	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202019%2009:29:37%20GMT	http://candidate.coralixthemes.com/robots.txt		(from )
15:29:27	17306/17306	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:07:32%20GMT	http://candidate.coralixthemes.com/landing/css/fontello.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/css/fontello.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:28	9231/9231	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:07:35%20GMT	http://candidate.coralixthemes.com/landing/css/YTPlayer.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/css/YTPlayer.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:28	63414/63414	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:07:31%20GMT	http://candidate.coralixthemes.com/landing/css/animate.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/css/animate.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:29	4895/4895	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:08:18%20GMT	http://candidate.coralixthemes.com/landing/js/fancybox/jquery.fancybox.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/js/fancybox/jquery.fancybox.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:30	1476/1476	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:08:26%20GMT	http://candidate.coralixthemes.com/landing/js/owl-carousel/owl.carousel.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/js/owl-carousel/owl.carousel.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:30	1665/1665	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:08:28%20GMT	http://candidate.coralixthemes.com/landing/js/owl-carousel/owl.theme.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/js/owl-carousel/owl.theme.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:31	17756/17756	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:07:34%20GMT	http://candidate.coralixthemes.com/landing/css/styles-blue.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/css/styles-blue.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
15:29:32	3026/3026	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Apr%202014%2015:07:32%20GMT	http://candidate.coralixthemes.com/landing/css/media-queries-blue.css	D:/SERVER/scm/template/landing-page/Candidate%20Political%20Donation%20Landing/candidate.coralixthemes.com/landing/css/media-queries-blue.css	(from http://candidate.coralixthemes.com/landing/index-blue.html)
