date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:23	31897/31897	---M-Z	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2012:43:39%20GMT	http://london.coralixthemes.com/woman/index.html	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/index.html	(from )
15:18:24	1328/1328	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202019%2009:29:37%20GMT	http://london.coralixthemes.com/robots.txt		(from )
15:18:25	16927/16927	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202015%2018:08:16%20GMT	http://london.coralixthemes.com/woman/css/fonts/fontello.css	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/fonts/fontello.css	(from http://london.coralixthemes.com/woman/index.html)
15:18:25	11047/11047	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202015%2018:07:50%20GMT	http://london.coralixthemes.com/woman/css/style.css	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/style.css	(from http://london.coralixthemes.com/woman/index.html)
15:18:26	1205/1205	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202015%2018:07:50%20GMT	http://london.coralixthemes.com/woman/css/media-queries.css	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/media-queries.css	(from http://london.coralixthemes.com/woman/index.html)
15:18:27	15514/15514	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Feb%202015%2018:08:52%20GMT	http://london.coralixthemes.com/woman/js/vendor/modernizr.min.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/vendor/modernizr.min.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:29	59683/59683	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202015%2018:08:12%20GMT	http://london.coralixthemes.com/woman/css/fonts/animate.css	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/fonts/animate.css	(from http://london.coralixthemes.com/woman/index.html)
15:18:30	4576/4576	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Feb%202015%2018:07:58%20GMT	http://london.coralixthemes.com/woman/img/logo.png	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/logo.png	(from http://london.coralixthemes.com/woman/index.html)
15:18:30	2131/2131	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Feb%202015%2018:07:53%20GMT	http://london.coralixthemes.com/woman/img/decoration-bg.png	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/decoration-bg.png	(from http://london.coralixthemes.com/woman/index.html)
15:18:34	24692/24692	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202015%2018:08:33%20GMT	http://london.coralixthemes.com/woman/img/gallery/1.jpg	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/gallery/1.jpg	(from http://london.coralixthemes.com/woman/index.html)
15:18:34	18922/18922	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202015%2018:08:33%20GMT	http://london.coralixthemes.com/woman/img/gallery/2.jpg	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/gallery/2.jpg	(from http://london.coralixthemes.com/woman/index.html)
15:18:34	18529/18529	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202015%2018:08:35%20GMT	http://london.coralixthemes.com/woman/img/gallery/3.jpg	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/gallery/3.jpg	(from http://london.coralixthemes.com/woman/index.html)
15:18:36	18384/18384	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202015%2018:08:35%20GMT	http://london.coralixthemes.com/woman/img/gallery/4.jpg	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/gallery/4.jpg	(from http://london.coralixthemes.com/woman/index.html)
15:18:37	18826/18826	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Feb%202015%2018:08:36%20GMT	http://london.coralixthemes.com/woman/img/gallery/5.jpg	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/gallery/5.jpg	(from http://london.coralixthemes.com/woman/index.html)
15:18:40	31690/31690	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Feb%202015%2018:08:47%20GMT	http://london.coralixthemes.com/woman/img/testimonials/testimonial01.png	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/testimonials/testimonial01.png	(from http://london.coralixthemes.com/woman/index.html)
15:18:41	30461/30461	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Feb%202015%2018:08:47%20GMT	http://london.coralixthemes.com/woman/img/testimonials/testimonial02.png	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/img/testimonials/testimonial02.png	(from http://london.coralixthemes.com/woman/index.html)
15:18:43	95786/95786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:44	32013/32013	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Feb%202015%2018:08:51%20GMT	http://london.coralixthemes.com/woman/js/vendor/bootstrap.min.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/vendor/bootstrap.min.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:44	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Oct%202019%2009:29:37%20GMT	http://london.coralixthemes.com/woman/js/bootstrap.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/bootstrap.14.delayed	(from http://london.coralixthemes.com/woman/index.html)
15:18:46	1478/1478	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Feb%202015%2018:08:56%20GMT	http://london.coralixthemes.com/woman/js/vendor/jquery/jquery.appear.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/vendor/jquery/jquery.appear.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:46	1569/1569	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Feb%202015%2018:08:10%20GMT	http://london.coralixthemes.com/woman/js/jquery-func.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/jquery-func.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:46	100159/100159	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Feb%202015%2018:08:27%20GMT	http://london.coralixthemes.com/woman/css/vendor/bootstrap.min.css	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/vendor/bootstrap.min.css	(from http://london.coralixthemes.com/woman/index.html)
15:18:54	95785/95785	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Feb%202015%2018:08:52%20GMT	http://london.coralixthemes.com/woman/js/vendor/jquery.min.js	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/js/vendor/jquery.min.js	(from http://london.coralixthemes.com/woman/index.html)
15:18:55	45540/45540	---M--	200	added ('OK')	font/woff	date:Thu,%2012%20Feb%202015%2018:08:20%20GMT	http://london.coralixthemes.com/woman/css/fonts/fontello.woff?57239042	D:/SERVER/scm/template/landing-page/Real%20Estate%20Landing%20Page/london.coralixthemes.com/woman/css/fonts/fontelloebce.woff	(from http://london.coralixthemes.com/woman/css/fonts/fontello.css)
